type,h01,h02,h03,h04,h05,h06,h07,h08,h09,h10,h11,h12,h13,h14,h15,h16,longitude,latitude
4,0,0,0,0.01,0,0,0.009,0.009,0.01,0,0.01,0.01,0,0,0,0,117.1351335,39.19698947
4,0,0,0,0.009,0,0,0.009,0.009,0.009,0,0.009,0.009,0,0,0,0,117.1348956,39.19613715
4,0,0,0,0.009,0,0,0.009,0.009,0.009,0,0.009,0.009,0,0,0,0,117.1350165,39.19509983
4,0,0,0,0.022,0.003,0,0.017,0.017,0.04,0.017,0.065,0.106,0.083,0.054,0.024,0,117.1363878,39.19313585
4,0,0,0,0.025,0.009,0,0.018,0.018,0.038,0.015,0.058,0.093,0.07,0.041,0.011,0,117.1377431,39.19085368
4,0,0,0,0.009,0,0,0.009,0.009,0.009,0,0.009,0.009,0,0,0,0,117.1378247,39.18937988
4,0,0,0,0.016,0,0,0.013,0.013,0.011,0,0.028,0.063,0.039,0.01,0,0,117.1369154,39.18798123
4,0,0,0,0.009,0.009,0,0.009,0.009,0.009,0,0.009,0.01,0,0,0,0,117.171387,39.17437961
4,0,0,0,0.009,0.009,0,0.009,0.009,0.009,0,0.009,0.009,0,0,0,0,117.1736938,39.1675784
4,0,0,0,0.02,0.004,0,0.018,0.018,0.035,0.011,0.063,0.101,0.08,0.051,0.021,0,117.1461515,39.20423123
4,0,0,0,0.009,0,0,0.009,0.009,0.009,0,0.057,0.095,0.058,0.027,0.009,0,117.1532745,39.197567
4,0,0,0,0.009,0.009,0,0.009,0.009,0.009,0,0.046,0.088,0.026,0,0,0,117.1584486,39.19275065
4,0,0,0,0.009,0.009,0,0.009,0.009,0.009,0,0.009,0.009,0,0,0,0,117.16839,39.18598606
4,0,0,0,0.009,0.01,0,0.01,0.009,0.01,0,0.01,0.01,0,0,0,0,117.1698671,39.18533583
4,0,0,0,0.02,0.026,0.001,0.02,0.02,0,0,0.036,0.041,0.008,0,0,0,117.2287622,39.16295302
4,0,0,0,0.009,0,0,0.006,0.006,0,0,0.007,0.008,0,0,0,0,117.1756201,39.21449599
4,0,0,0,0.009,0,0,0.009,0.009,0,0,0.008,0.009,0,0,0,0,117.1592535,39.23569363
4,0,0,0,0.009,0.009,0,0.009,0.009,0,0,0.009,0.006,0.005,0,0,0,117.2307319,39.16438124
4,0,0,0,0.009,0.009,0,0.009,0.009,0,0,0.009,0.009,0,0,0,0,117.234659,39.16077284
4,0,0,0,0.009,0.009,0,0.009,0.009,0,0,0.009,0.008,0,0,0,0,117.2347488,39.1595988
4,0,0,0,0.014,0.019,0,0.016,0.016,0,0,0.02,0.01,0.024,0,0,0,117.2357213,39.16799398
4,0,0,0,0.009,0.009,0,0.01,0.009,0,0,0.009,0.048,0.01,0,0,0,117.2374438,39.16897135
4,0,0,0,0.009,0.009,0,0.009,0.009,0,0,0.009,0.009,0.009,0,0,0,117.2277455,39.16683512
4,0,0,0,0.009,0.009,0,0.009,0.009,0,0,0.009,0.009,0.009,0,0,0,117.2287804,39.16597575
4,0,0,0,0.009,0,0,0.009,0.009,0.009,0,0.009,0.009,0,0,0,0,117.1061833,39.22252957
4,0,0,0,0.014,0,0,0.013,0.013,0.018,0,0.024,0.02,0,0,0,0,117.1071606,39.22147597
4,0,0,0,0.009,0,0,0.01,0.009,0.01,0,0.014,0.01,0,0,0,0,117.107695,39.22069851
4,0,0,0,0.01,0,0,0.009,0.009,0.009,0,0.009,0.009,0,0,0,0,117.1083588,39.21886746
4,0,0,0,0.009,0,0,0.009,0.009,0.008,0,0.008,0.009,0.009,0.009,0,0,117.114142,39.21016385
4,0,0,0,0.07,0.034,0.012,0.053,0.053,0.091,0.034,0.098,0.114,0.074,0.03,0,0,117.1191409,39.20368978
4,0,0,0,0.01,0.008,0,0.028,0.028,0.085,0.055,0.102,0.125,0.094,0.061,0.026,0,117.1224411,39.19940511
4,0,0,0,0.024,0.008,0,0.018,0.018,0.04,0.016,0.055,0.086,0.062,0.033,0.003,0,117.125918,39.19489176
4,0,0,0,0.026,0.01,0,0.018,0.018,0.041,0.017,0.06,0.096,0.072,0.043,0.013,0,117.1329704,39.18845106
4,0,0,0,0.031,0.055,0.038,0.066,0.066,0.088,0.069,0.117,0.157,0.134,0.105,0.075,0.045,117.1585284,39.16208659
4,0,0,0,0.009,0.009,0,0.009,0.009,0.008,0,0.008,0.008,0,0,0,0,117.1577596,39.16034478
4,0,0,0,0.009,0.009,0,0.009,0.009,0.009,0,0.009,0.009,0,0,0,0,117.1565511,39.17318848
4,0,0,0,0.009,0.009,0,0.009,0.009,0.009,0,0.009,0.009,0,0,0,0,117.1477794,39.18139052
4,0,0,0,0.009,0.01,0,0.009,0.009,0.009,0,0.009,0.009,0,0,0,0,117.1454153,39.17841824
4,0,0,0,0.01,0.037,0.018,0.043,0.043,0.052,0.022,0.066,0.068,0.029,0,0,0,117.1446582,39.17728163
4,0,0,0,0.009,0.019,0.004,0.019,0.019,0.017,0.002,0.034,0.067,0.023,0.009,0.004,0,117.1427333,39.174949
4,0,0,0,0.072,0.074,0.051,0.115,0.115,0.233,0.237,0.338,0.412,0.382,0.347,0.321,0.291,117.1254378,39.20645182
4,0,0,0,0.028,0.045,0.028,0.049,0.049,0.072,0.052,0.093,0.126,0.102,0.073,0.043,0.013,117.1393235,39.16828966
4,0,0,0,0.04,0.077,0.012,0.052,0.052,0.009,0.009,0.088,0.082,0.01,0.009,0,0,117.201543,39.16647298
4,0,0,0,0.022,0.053,0.028,0.065,0.065,0.055,0.039,0.129,0.219,0.189,0.16,0.131,0.101,117.2025391,39.16543972
4,0,0,0,0.012,0.013,0,0.013,0.013,0,0,0.01,0.009,0,0,0,0,117.2036461,39.16440457
4,0,0,0,0.009,0.009,0,0.009,0.009,0,0,0.009,0.009,0,0,0,0,117.2043449,39.16380778
4,0,0,0,0.009,0,0,0.01,0.009,0.01,0,0.009,0.01,0,0,0,0,117.1332726,39.18313748
4,0,0,0,0.009,0.01,0,0.009,0.009,0.01,0,0.01,0.01,0,0,0,0,117.1467914,39.17835232
4,0,0,0,0.01,0.01,0,0.009,0.009,0.009,0,0.009,0.017,0,0,0,0,117.1491781,39.17773926
4,0,0,0,0.021,0.043,0.022,0.044,0.044,0.025,0.006,0.053,0.095,0.074,0.046,0.016,0,117.2121395,39.16453532
4,0,0,0,0.009,0.009,0,0.009,0.009,0,0,0.009,0.009,0,0,0,0,117.2131388,39.16233643
4,0,0,0,0.009,0.052,0.033,0.124,0.124,0.105,0.097,0.341,0.451,0.424,0.39,0.36,0.33,117.2138517,39.16084554
4,0,0,0,0.009,0.009,0,0.009,0.009,0.009,0,0.009,0.009,0,0,0,0,117.1589917,39.16284722
4,0,0,0,0.009,0.009,0,0.009,0.009,0.008,0,0.009,0.007,0,0,0,0,117.1603947,39.16688612
4,0,0,0,0.027,0.048,0.032,0.056,0.056,0.076,0.057,0.106,0.148,0.126,0.098,0.068,0.038,117.1611439,39.16931125
4,0,0,0,0.009,0.01,0,0.01,0.01,0.01,0,0.01,0.01,0,0,0,0,117.1625505,39.17049154
4,0,0,0,0.012,0.01,0,0.011,0.011,0.023,0.008,0.044,0.122,0.121,0.095,0.062,0.03,117.1638783,39.1712736
4,0,0,0,0.011,0.01,0,0.012,0.011,0.013,0.009,0.054,0.132,0.131,0.105,0.072,0.04,117.1648158,39.17180203
4,0,0,0,0.08,0.233,0.215,0.299,0.299,0.412,0.387,0.489,0.57,0.541,0.505,0.466,0.431,117.1617413,39.17973443
4,0,0,0,0.021,0.035,0.019,0.021,0.021,0.034,0.017,0.059,0.031,0.009,0,0,0,117.1622895,39.18037489
4,0,0,0,0.009,0.007,0,0.008,0.008,0.007,0,0.006,0.009,0,0,0,0,117.1666328,39.18186876
4,0,0,0,0.025,0.034,0.006,0.027,0.027,0.003,0,0.043,0.05,0.013,0,0,0,117.2267714,39.16144694
4,0,0,0,0.01,0.01,0.005,0.009,0.009,0.003,0,0.009,0.01,0.009,0,0,0,117.2245573,39.15982069
4,0,0,0,0.013,0.019,0,0.014,0.014,0,0,0.03,0.009,0,0,0,0,117.2050179,39.16300618
4,0,0,0,0.019,0.027,0.002,0.021,0.021,0,0,0.036,0.04,0.007,0,0,0,117.2052582,39.16229628
4,0,0,0,0.009,0.009,0,0.009,0.009,0.009,0,0.01,0.008,0,0,0,0,117.2054799,39.16171984
4,0,0,0,0.009,0.009,0,0.009,0.009,0.009,0,0.009,0.009,0,0,0,0,117.1516059,39.1644496
4,0,0,0,0.024,0.02,0,0.018,0.018,0.02,0,0.026,0.025,0,0,0,0,117.1512942,39.16308431
4,0,0,0,0.009,0,0,0.009,0.009,0.009,0,0.009,0.009,0,0,0,0,117.1293148,39.2239152
4,0,0,0,0.009,0,0,0.009,0.009,0.009,0,0.01,0.01,0,0,0,0,117.1304118,39.22281331
4,0,0,0,0.009,0,0,0.009,0.009,0.009,0,0.009,0.009,0,0,0,0,117.1080461,39.22831299
4,0,0,0,0.01,0,0,0.01,0.01,0.02,0,0.032,0.031,0.004,0,0,0,117.1094054,39.2279012
4,0,0,0,0.01,0,0,0.01,0.01,0.02,0.002,0.024,0.013,0.004,0,0,0,117.1107237,39.22732992
4,0,0,0,0.009,0,0,0.009,0.009,0.009,0,0.009,0.009,0,0,0,0,117.1120307,39.22692003
4,0,0,0,0.009,0,0,0.009,0.009,0.009,0,0.007,0.008,0,0,0,0,117.1212264,39.22155246
4,0,0,0,0.009,0,0,0.009,0.009,0.009,0,0.008,0.007,0,0,0,0,117.1215923,39.22078071
4,0,0,0,0.01,0,0,0.009,0.009,0.01,0,0.011,0.01,0,0,0,0,117.1218932,39.21990099
4,0,0,0,0.009,0,0,0.009,0.009,0.009,0,0.01,0.01,0,0,0,0,117.1255352,39.21734809
4,0,0,0,0.01,0.009,0,0.009,0.01,0.054,0.016,0.105,0.135,0.087,0.045,0.012,0,117.1344048,39.20992405
4,0,0,0,0.009,0,0,0.009,0.009,0.009,0,0.009,0.009,0.008,0,0,0,117.1363466,39.20686496
4,0,0,0,0.009,0,0,0.009,0.009,0.009,0,0.009,0.009,0,0,0,0,117.1041471,39.20533285
4,0,0,0,0.009,0,0,0.009,0.009,0.009,0,0.009,0.009,0,0,0,0,117.1045375,39.20552816
4,0,0,0,0.009,0,0,0.009,0.009,0.009,0,0.009,0.009,0.003,0,0,0,117.1201609,39.21320964
4,0,0,0,0.01,0,0,0.01,0.01,0.01,0,0.029,0.03,0,0,0,0,117.1263577,39.21646647
4,0,0,0,0.01,0,0,0.009,0.009,0.01,0,0.009,0.009,0,0,0,0,117.1286979,39.22168728
4,0,0,0,0.013,0,0,0.012,0.012,0.013,0,0.017,0.014,0,0,0,0,117.1070795,39.22088759
4,0,0,0,0.01,0,0,0.009,0.009,0.009,0,0.009,0.009,0,0,0,0,117.1060021,39.22103678
4,0,0,0,0.009,0,0,0.01,0.009,0.01,0,0.009,0.01,0,0,0,0,117.1052525,39.22052544
4,0,0,0,0.02,0.001,0,0.018,0.018,0.035,0.005,0.044,0.054,0.016,0,0,0,117.1046984,39.21924967
4,0,0,0,0.009,0,0,0.009,0.009,0.009,0,0.009,0.009,0,0,0,0,117.1040904,39.21702772
4,0,0,0,0.012,0,0,0.011,0.011,0.036,0.009,0.066,0.096,0.05,0.009,0,0,117.103839,39.21446099
4,0,0,0,0.022,0.006,0,0.018,0.018,0.043,0.02,0.047,0.069,0.043,0.014,0,0,117.1050564,39.19604655
4,0,0,0,0.02,0.002,0,0.016,0.016,0.034,0.006,0.031,0.042,0.01,0,0,0,117.1049159,39.19487901
4,0,0,0,0.015,0,0,0.013,0.013,0.018,0,0.009,0.009,0,0,0,0,117.1044995,39.19244358
4,0,0,0,0.009,0,0,0.009,0.009,0.009,0,0.009,0.009,0,0,0,0,117.1040348,39.18976888
4,0,0,0,0.01,0.002,0,0.009,0.009,0.009,0,0.009,0.009,0,0,0,0,117.1035243,39.18794569
4,0,0,0,0.009,0,0,0.01,0.009,0.009,0,0.009,0.009,0,0,0,0,117.1026237,39.18560845
4,0,0,0,0.02,0.001,0,0.016,0.016,0.033,0.004,0.023,0.031,0,0,0,0,117.1022827,39.18738336
4,0,0,0,0.01,0,0,0.01,0.01,0.024,0.016,0.026,0.038,0.016,0.012,0,0,117.1011673,39.18367323
4,0,0,0,0.01,0.001,0,0.009,0.01,0.01,0.004,0.01,0.009,0,0,0,0,117.1015538,39.18495497
4,0,0,0,0.028,0.007,0,0.024,0.024,0.044,0.01,0.032,0.041,0.001,0,0,0,117.1020361,39.18492079
4,0,0,0,0.01,0.01,0,0.01,0.009,0,0,0.01,0.017,0.015,0,0,0,117.2211621,39.20939643
4,0,0,0,0.012,0.01,0,0.014,0.014,0,0,0.029,0.01,0.009,0,0,0,117.2226164,39.20768283
4,0,0,0,0.012,0.016,0,0.015,0.015,0,0,0.025,0.021,0.011,0,0,0,117.2208114,39.20830322
4,0,0,0,0.01,0.009,0.001,0.01,0.009,0,0,0.009,0.009,0.008,0,0,0,117.2185658,39.20055664
4,0,0,0,0.009,0.009,0,0.009,0.009,0,0,0.009,0.008,0.009,0,0,0,117.2181711,39.19881212
4,0,0,0,0.009,0.009,0,0.009,0.009,0,0,0.011,0.01,0.009,0,0,0,117.2189879,39.19687093
4,0,0,0,0.01,0.002,0,0.01,0.009,0.01,0.004,0.01,0.023,0.009,0,0,0,117.1118877,39.1949707
4,0,0,0,0.021,0.005,0,0.018,0.018,0.038,0.015,0.058,0.092,0.068,0.039,0.009,0,117.1331565,39.19687174
4,0,0,0,0.01,0,0,0.01,0.009,0.01,0,0.009,0.009,0,0,0,0,117.1341933,39.19704671
4,0,0,0,0.009,0.009,0,0.009,0.009,0,0,0.009,0.009,0.009,0,0,0,117.2300304,39.1961263
4,0,0,0,0.014,0.018,0,0.015,0.015,0,0,0.048,0.093,0.111,0.084,0.054,0.024,117.2320738,39.19432346
4,0,0,0,0.015,0.022,0,0.015,0.015,0,0,0.038,0.037,0.026,0,0,0,117.231751,39.19461995
4,0,0,0,0.009,0.009,0,0.009,0.009,0,0,0.008,0.003,0.004,0,0,0,117.2310522,39.19393392
4,0,0,0,0.016,0.019,0,0.014,0.014,0,0,0.033,0.03,0.018,0,0,0,117.2229403,39.18613987
4,0,0,0,0.009,0.009,0,0.009,0.009,0,0,0.009,0.009,0.009,0,0,0,117.2221742,39.18544542
4,0,0,0,0.009,0.009,0,0.009,0.009,0,0,0.01,0.009,0.01,0,0,0,117.2161453,39.18116536
4,0,0,0,0.009,0.009,0,0.009,0.009,0,0,0.009,0.008,0,0,0,0,117.2113344,39.1781193
4,0,0,0,0.009,0.009,0,0.009,0.009,0,0,0.01,0.01,0.009,0,0,0,117.2231901,39.18563721
4,0,0,0,0.009,0.008,0,0.008,0.008,0,0,0.008,0.009,0.004,0,0,0,117.2224156,39.18501573
4,0,0,0,0.009,0.009,0,0.008,0.008,0,0,0.006,0.007,0.003,0,0,0,117.2164448,39.18073188
4,0,0,0,0.009,0.009,0,0.009,0.009,0,0,0.009,0.009,0,0,0,0,117.211409,39.1777162
4,0,0,0,0.009,0.008,0,0.005,0.005,0,0,0.002,0.007,0,0,0,0,117.2091583,39.1767098
4,0,0,0,0.009,0.009,0,0.009,0.009,0,0,0.008,0.007,0,0,0,0,117.2029123,39.17241102
4,0,0,0,0.01,0.01,0,0.01,0.01,0,0,0.01,0.01,0,0,0,0,117.2002566,39.17073378
4,0,0,0,0.009,0.009,0,0.009,0.009,0,0,0.006,0.004,0,0,0,0,117.1982688,39.16972249
4,0,0,0,0.009,0.009,0,0.009,0.009,0.01,0,0.01,0.009,0,0,0,0,117.1878996,39.16405653
4,0,0,0,0.01,0.009,0,0.009,0.009,0.009,0,0.009,0.009,0,0,0,0,117.1864931,39.16334581
4,0,0,0,0.034,0.065,0.048,0.079,0.079,0.1,0.083,0.146,0.204,0.183,0.155,0.125,0.095,117.184375,39.1622602
4,0,0,0,0.01,0.031,0.009,0.033,0.033,0.047,0.024,0.096,0.177,0.188,0.162,0.132,0.102,117.1813379,39.18828803
4,0,0,0,0.022,0.044,0.023,0.041,0.041,0.023,0.002,0.065,0.112,0.095,0.067,0.037,0.007,117.1994708,39.18704753
4,0,0,0,0.037,0.128,0.105,0.128,0.127,0.102,0.081,0.162,0.251,0.254,0.229,0.198,0.168,117.2060975,39.19065592
4,0,0,0,0.009,0.009,0,0.009,0.009,0,0,0.009,0.063,0.117,0.088,0.058,0.027,117.2106242,39.19296115
4,0,0,0,0.009,0.009,0,0.009,0.009,0,0,0.01,0.01,0.022,0.009,0.009,0.008,117.2118286,39.19355577
4,0,0,0,0.01,0.01,0,0.01,0.01,0.01,0,0.011,0.01,0,0,0,0,117.156936,39.19195068
4,0,0,0,0.009,0,0,0.009,0.009,0.009,0,0.009,0.009,0,0,0,0,117.1036136,39.18979085
4,0,0,0,0.009,0,0,0.009,0.009,0.009,0,0.009,0.009,0,0,0,0,117.1104647,39.18886475
4,0,0,0,0.01,0,0,0.009,0.009,0.009,0,0.009,0.01,0,0,0,0,117.1164301,39.18792399
4,0,0,0,0.009,0,0,0.009,0.009,0.009,0,0.009,0.008,0,0,0,0,117.1180189,39.18759115
4,0,0,0,0.009,0,0,0.01,0.009,0.009,0,0.009,0.01,0,0,0,0,117.131378,39.18416016
4,0,0,0,0.01,0.01,0,0.01,0.01,0.009,0.001,0.042,0.125,0.123,0.097,0.064,0.031,117.1634191,39.17154839
4,0,0,0,0.071,0.105,0.045,0.093,0.093,0.095,0.038,0.107,0.149,0.122,0.086,0.052,0.019,117.1655322,39.17220133
4,0,0,0,0.01,0.009,0,0.009,0.009,0.009,0,0.01,0.009,0,0,0,0,117.1708062,39.17542236
4,0,0,0,0.009,0.009,0,0.009,0.009,0.009,0,0.009,0.009,0.004,0,0,0,117.1724702,39.17626166
4,0,0,0,0.01,0.009,0,0.009,0.009,0.009,0,0.01,0.009,0,0,0,0,117.1880463,39.180523
4,0,0,0,0.01,0.009,0,0.009,0.009,0.009,0,0.01,0.01,0,0,0,0,117.1796107,39.17762614
4,0,0,0,0.027,0.056,0.036,0.062,0.062,0.051,0.031,0.11,0.176,0.157,0.129,0.099,0.069,117.189793,39.18091309
4,0,0,0,0.012,0.015,0,0.016,0.016,0,0,0.042,0.087,0.067,0.04,0.01,0,117.1923568,39.18222819
4,0,0,0,0.009,0.009,0,0.009,0.009,0,0,0.005,0.009,0,0,0,0,117.1933352,39.18345513
4,0,0,0,0.025,0.017,0.004,0.018,0.018,0.017,0.001,0.034,0.021,0,0,0,0,117.1586477,39.1758846
4,0,0,0,0.009,0.009,0.009,0.009,0.009,0.019,0.009,0.082,0.17,0.166,0.139,0.105,0.071,117.1645543,39.17296848
4,0,0,0,0.009,0.127,0.108,0.151,0.152,0.132,0.112,0.258,0.368,0.418,0.392,0.361,0.329,117.2293856,39.17658257
4,0,0,0,0.018,0.05,0.028,0.046,0.046,0.023,0.002,0.072,0.122,0.14,0.113,0.083,0.053,117.2346134,39.17969591
4,0,0,0,0.009,0.009,0,0.009,0.009,0,0,0.009,0.009,0.009,0,0,0,117.2273617,39.18174344
4,0,0,0,0.016,0.127,0.108,0.151,0.151,0.132,0.112,0.256,0.361,0.409,0.384,0.355,0.325,117.2291298,39.17705811
4,0,0,0,0.009,0.009,0,0.01,0.009,0.009,0,0.009,0.009,0,0,0,0,117.1728353,39.18400743
4,0,0,0,0.009,0.009,0,0.009,0.009,0.009,0,0.009,0.004,0,0,0,0,117.176633,39.18267253
4,0,0,0,0.009,0.01,0,0.01,0.01,0.01,0,0.01,0.01,0,0,0,0,117.1784009,39.18213596
4,0,0,0,0.009,0,0,0.009,0.009,0.009,0,0.009,0.009,0,0,0,0,117.1430509,39.19056369
4,0,0,0,0.009,0,0,0.009,0.009,0.009,0,0.009,0.009,0,0,0,0,117.1435883,39.18912815
4,0,0,0,0.009,0.01,0.012,0.009,0.01,0.01,0.025,0.011,0.048,0.016,0.009,0.009,0,117.1506098,39.18506592
4,0,0,0,0.009,0.009,0,0.009,0.009,0.009,0,0.009,0.009,0,0,0,0,117.1673402,39.18063585
4,0,0,0,0.009,0.009,0,0.009,0.009,0.009,0,0.009,0.01,0,0,0,0,117.1696056,39.17688043
4,0,0,0,0.009,0.009,0,0.009,0.009,0,0,0.009,0.045,0.077,0.052,0.022,0,117.2353871,39.17882189
4,0,0,0,0.009,0.01,0.001,0.009,0.009,0.004,0,0.015,0.055,0.039,0.009,0.009,0,117.2394474,39.17382514
4,0,0,0,0.016,0.018,0,0.018,0.018,0,0,0.03,0.028,0.004,0,0,0,117.2094038,39.17646023
4,0,0,0,0.017,0.019,0,0.018,0.018,0,0,0.031,0.029,0.004,0,0,0,117.2096015,39.17628011
4,0,0,0,0.01,0.028,0.014,0.026,0.026,0.014,0.003,0.04,0.01,0.01,0.009,0,0,117.2210832,39.16999376
4,0,0,0,0.009,0.009,0.007,0.009,0.009,0.004,0,0.009,0.145,0.213,0.203,0.178,0.149,117.2227195,39.16911621
4,0,0,0,0.02,0.019,0,0.017,0.017,0.019,0,0.028,0.028,0,0,0,0,117.1575724,39.17454237
4,0,0,0,0.009,0,0,0.009,0.009,0.009,0,0.009,0.009,0,0,0,0,117.1005773,39.17353597
4,0,0,0,0.01,0,0,0.01,0.009,0.01,0,0.01,0.01,0,0,0,0,117.1005257,39.1756901
4,0,0,0,0.009,0,0,0.009,0.009,0.009,0,0.009,0.009,0,0,0,0,117.1021851,39.17571452
4,0,0,0,0.03,0.053,0.037,0.064,0.064,0.083,0.066,0.112,0.151,0.129,0.1,0.07,0.04,117.1649162,39.16033827
4,0,0,0,0.03,0.053,0.037,0.064,0.064,0.084,0.066,0.113,0.153,0.131,0.102,0.072,0.042,117.1669702,39.16030653
4,0,0,0,0.009,0.009,0,0.009,0.009,0.009,0,0.009,0.009,0,0,0,0,117.138788,39.1666984
4,0,0,0,0.017,0.019,0,0.017,0.017,0,0,0.029,0.082,0.1,0.074,0.044,0.014,117.2370467,39.16722466
4,0,0,0,0.009,0.009,0,0.009,0.008,0,0,0.007,0.005,0.005,0,0,0,117.23882,39.16646512
4,0,0,0,0.016,0.016,0,0.016,0.016,0,0,0.028,0.024,0.014,0,0,0,117.2398484,39.16602132
4,0,0,0,0.009,0.009,0,0.009,0.009,0,0,0.01,0.008,0.009,0,0,0,117.2404042,39.16556668
4,0,0,0,0.02,0.042,0.021,0.043,0.043,0.024,0.005,0.052,0.094,0.073,0.045,0.015,0,117.2115975,39.16571669
4,0,0,0,0.02,0.042,0.021,0.043,0.043,0.023,0.003,0.05,0.093,0.074,0.046,0.016,0,117.2230895,39.16635417
4,0,0,0,0.022,0.046,0.026,0.049,0.049,0.029,0.009,0.062,0.111,0.094,0.067,0.037,0.007,117.2255564,39.16648627
4,0,0,0,0.02,0.04,0.016,0.048,0.048,0.066,0.05,0.123,0.205,0.216,0.203,0.174,0.145,117.198954,39.16511556
4,0,0,0,0.01,0.01,0,0.014,0.014,0,0,0.028,0.068,0.054,0.027,0,0,117.2233032,39.16489909
4,0,0,0,0.037,0.12,0.102,0.135,0.135,0.115,0.098,0.15,0.187,0.174,0.147,0.117,0.087,117.2237375,39.16309435
4,0,0,0,0.073,0.199,0.181,0.219,0.22,0.202,0.185,0.22,0.219,0.202,0.175,0.145,0.115,117.2239852,39.16248698
4,0,0,0,0.01,0.01,0,0.01,0.009,0,0,0.01,0.01,0,0,0,0,117.224222,39.1622092
4,0,0,0,0.01,0.009,0,0.01,0.009,0,0,0.01,0.01,0,0,0,0,117.2256236,39.16171739
4,0,0,0,0.01,0.009,0,0.009,0.009,0,0,0.009,0.009,0,0,0,0,117.2072605,39.16319499
4,0,0,0,0.009,0.009,0,0.009,0.009,0,0,0.009,0.009,0,0,0,0,117.2077035,39.16246257
4,0,0,0,0.019,0.036,0.016,0.04,0.04,0.054,0.038,0.083,0.123,0.101,0.072,0.042,0.012,117.1906871,39.16052951
4,0,0,0,0.01,0.009,0,0.009,0.009,0.009,0,0.01,0.009,0,0,0,0,117.204097,39.16193793
